Object Full Name,Diameter (km),Albedo,Rotation Period (hrs),Absolute Magnitude Parameter,Epoch of Oscillation in Julian Day Form,Eccentricity,Semi-Major Axis (au),Perihelion Distance (au),Inclination (degrees),Longitude of Ascending Node (deg),Argument of Perihelion (deg),Mean Anomaly (deg),Aphelion distance (au),Mean motion (deg/day),Earth Minimum Orbit Intersection Distance (au),Potentially Hazardous Asteroid
   433 Eros (A898 PA),16.84,0.25,5.27,10.31,2459800.5,0.2227,1.458,1.133,10.83,304.29,178.93,358.82,1.78,0.5598,0.15,0
   719 Albert (A911 TB),,,5.801,15.57,2459800.5,0.547,2.637,1.195,11.58,183.86,156.25,324.2,4.08,0.2302,0.201,0
   887 Alinda (A918 AA),4.2,0.31,28.41,13.84,2459800.5,0.5706,2.473,1.062,9.4,110.43,350.48,137.32,3.88,0.2535,0.0824,0
  1036 Ganymed (A924 UB),37.675,0.238,10.297,9.23,2459800.5,0.5331,2.666,1.245,26.68,215.51,132.45,185.91,4.09,0.2264,0.345,0
  1221 Amor (1932 EA1),1,,,17.38,2459800.5,0.4359,1.919,1.083,11.88,171.32,26.63,335.22,2.76,0.3708,0.107,0
  1566 Icarus (1949 MA),1,0.51,2.2726,16.52,2459800.5,0.8269,1.078,0.187,22.8,87.96,31.44,176.44,1.97,0.8805,0.034,1
  1580 Betulia (1950 KA),5.8,0.08,6.1324,14.73,2459800.5,0.4871,2.197,1.127,52.08,62.28,159.53,77.14,3.27,0.3026,0.137,0
  1620 Geographos (1951 RA),2.56,0.29,5.22204,15.34,2459800.5,0.3354,1.246,0.828,13.34,337.18,276.97,82.26,1.66,0.7088,0.0301,1
  1627 Ivar (1929 SH),9.12,0.15,4.795,12.76,2459800.5,0.3966,1.863,1.124,8.45,133.12,167.81,206.52,2.6,0.3875,0.112,0
  1685 Toro (1948 OA),3.4,0.31,10.1995,14.31,2459800.5,0.436,1.368,0.771,9.38,274.23,127.21,63.33,1.96,0.6163,0.0502,0
  1862 Apollo (1932 HA),1.5,0.25,3.065,16.11,2459800.5,0.56,1.471,0.647,6.35,35.56,286.05,170.73,2.29,0.5527,0.0258,1
  1863 Antinous (1948 EA),2.1,0.24,7.453,15.44,2459800.5,0.6059,2.259,0.89,18.4,346.42,268.08,302.06,3.63,0.2902,0.184,0
  1864 Daedalus (1971 FA),3.7,0.273,8.572,14.77,2459800.5,0.6145,1.461,0.563,22.22,6.61,325.66,307.73,2.36,0.5582,0.269,0
  1865 Cerberus (1971 UA),1.2,0.22,6.8039,16.79,2459800.5,0.467,1.08,0.576,16.1,212.89,325.28,345.84,1.58,0.8782,0.157,0
  1866 Sisyphus (1972 XA),8.48,0.15,2.4,12.45,2459800.5,0.5384,1.893,0.874,41.21,63.47,293.08,46.81,2.91,0.3783,0.104,0
