Object Full Name,Diameter (km),Albedo,Rotation Period (hrs),Absolute Magnitude Parameter,Epoch of Oscillation in Julian Day Form,Eccentricity,Semi-Major Axis (au),Perihelion Distance (au),Inclination (degrees),Longitude of Ascending Node (deg),Argument of Perihelion (deg),Mean Anomaly (deg),Aphelion distance (au),Mean motion (deg/day),Earth Minimum Orbit Intersection Distance (au),Potentially Hazardous Asteroid
  1566 Icarus (1949 MA),1,0.51,2.2726,16.52,2459800.5,0.8269,1.078,0.187,22.8,87.96,31.44,176.44,1.97,0.8805,0.034,1
  1620 Geographos (1951 RA),2.56,0.29,5.22204,15.34,2459800.5,0.3354,1.246,0.828,13.34,337.18,276.97,82.26,1.66,0.7088,0.0301,1
  1862 Apollo (1932 HA),1.5,0.25,3.065,16.11,2459800.5,0.56,1.471,0.647,6.35,35.56,286.05,170.73,2.29,0.5527,0.0258,1
  1981 Midas (1973 EA),3.4,,5.22,15.28,2459800.5,0.65,1.777,0.622,39.83,356.85,267.82,285.79,2.93,0.4162,0.00503,1
  2101 Adonis (1936 CA),0.6,,,18.73,2459800.5,0.7643,1.874,0.442,1.32,349.48,43.62,283.47,3.31,0.3843,0.0116,1
  2102 Tantalus (1975 YA),1.649,0.245,2.384,15.97,2459800.5,0.2993,1.29,0.904,64,94.36,61.53,260.13,1.68,0.6726,0.0443,1
  2135 Aristaeus (1977 HA),,,,18.05,2459800.5,0.5031,1.599,0.795,23.07,191.13,290.98,172.61,2.4,0.4872,0.00998,1
  2201 Oljato (1947 XC),1.8,0.4328,26,15.36,2459800.5,0.7128,2.175,0.625,2.52,74.96,98.29,89.03,3.73,0.3072,0.00307,1
  2340 Hathor (1976 UA),0.3,,3.35,20.32,2459800.5,0.4499,0.8438,0.464,5.86,211.31,40.09,116.13,1.22,1.272,0.00682,1
  3122 Florence (1981 ET3),4.9,0.231,2.3581,13.87,2459800.5,0.4233,1.769,1.02,22.14,336.06,27.86,25.58,2.52,0.419,0.0442,1
  3200 Phaethon (1983 TB),6.25,0.1066,3.604,14.4,2459800.5,0.8898,1.271,0.14,22.26,265.22,322.18,59,2.4,0.6875,0.0192,1
  3361 Orpheus (1982 HR),0.3,0.357,3.5327,19.39,2459800.5,0.323,1.21,0.819,2.66,188.68,302.36,152.43,1.6,0.7402,0.0141,1
  3362 Khufu (1984 QA),0.7,0.21,,18.52,2459800.5,0.4686,0.9895,0.526,9.92,152.43,55.05,278.85,1.45,1.001,0.0134,1
  3671 Dionysus (1984 KD),1.5,0.16,2.7053,16.6,2459800.5,0.5411,2.199,1.009,13.53,82.07,204.3,249.8,3.39,0.3022,0.022,1
  3757 Anagolay (1982 XB),0.5,0.18,9.012,19.05,2459800.5,0.4455,1.835,1.017,3.87,74.93,17.22,336.45,2.65,0.3966,0.0387,1
  4015 Wilson-Harrington (1979 VA),4,0.05,3.5736,16.21,2459800.5,0.6318,2.625,0.967,2.8,266.78,95.44,356.37,4.28,0.2317,0.0427,1
  4034 Vishnu (1986 PA),0.42,0.52,44.4,18.55,2459800.5,0.444,1.06,0.589,11.17,157.9,296.71,257.47,1.53,0.9037,0.0195,1
  4179 Toutatis (1989 AC),5.4,0.405,176,15.32,2459800.5,0.6245,2.545,0.956,0.45,125.26,277.93,145.46,4.13,0.2428,0.0066,1
  4183 Cuno (1959 LM),3.651,0.097,3.5595,14.23,2459800.5,0.6359,1.982,0.722,6.67,294.43,236.92,253.18,3.24,0.3532,0.0278,1
  4450 Pan (1987 SY),,,56.48,17.27,2459800.5,0.5865,1.442,0.596,5.52,311.8,291.83,96.97,2.29,0.569,0.0287,1
  4486 Mithra (1987 SB),1.849,0.297,67.5,15.68,2459800.5,0.6625,2.2,0.743,3.04,82.24,168.9,275.7,3.66,0.302,0.0462,1
  4581 Asclepius (1989 FC),,,8.008,20.74,2459800.5,0.357,1.023,0.658,4.92,180.21,255.36,169.65,1.39,0.953,0.00328,1
  4660 Nereus (1982 DB),0.33,0.55,15.1,18.67,2459800.5,0.3588,1.485,0.952,1.45,313.14,159.53,116.27,2.02,0.5446,0.00373,1
  4769 Castalia (1989 PB),1.4,0.092,4.095,17.52,2459800.5,0.4831,1.063,0.55,8.89,325.53,121.41,324.82,1.58,0.899,0.0205,1
  4953 (1990 MU),,,14.218,14.91,2459800.5,0.6574,1.622,0.556,24.37,77.55,77.92,263.05,2.69,0.4773,0.0255,1
  5011 Ptah (6743 P-L),,,56.3,16.71,2459800.5,0.5002,1.636,0.818,7.41,10.64,105.96,156.83,2.45,0.4711,0.0248,1
  5189 (1990 UQ),,,6.653,17.85,2459800.5,0.4781,1.552,0.81,3.58,135.07,159.95,209.71,2.29,0.5099,0.0447,1
  5604 (1992 FE),0.55,0.48,5.3375,17.39,2459800.5,0.4061,0.9286,0.552,4.72,311.9,82.65,108.78,1.31,1.101,0.0333,1
  5693 (1993 EA),,,2.496,16.75,2459800.5,0.5853,1.271,0.527,5.06,96.99,258.96,12.6,2.01,0.6882,0.00562,1
  6037 (1988 EG),,,2.7602,19,2459800.5,0.4995,1.271,0.636,3.5,182.36,242.18,59.68,1.91,0.6877,0.0242,1
  6239 Minos (1989 QF),,,3.5558,18.57,2459800.5,0.4127,1.151,0.676,3.94,344.57,239.69,306.04,1.63,0.798,0.0263,1
  6489 Golevka (1991 JX),0.53,0.151,6.026,19.22,2459800.5,0.6124,2.486,0.963,2.27,209.48,68.67,310.84,4.01,0.2515,0.025,1
  6491 (1991 OA),,,2.69,18.74,2459800.5,0.5904,2.501,1.025,5.95,301.9,323.64,303.71,3.98,0.2491,0.043,1
  7335 (1989 JA),1.8,0.448,12,17.61,2459800.5,0.4846,1.772,0.913,15.17,61.28,232.32,14.77,2.63,0.4178,0.0223,1
  7341 (1991 VK),0.982,0.235,4.2096,16.97,2459800.5,0.5059,1.841,0.91,5.41,294.74,173.5,82.25,2.77,0.3945,0.047,1
  7482 (1994 PC1),1.052,0.277,2.5999,16.58,2459800.5,0.3295,1.349,0.904,33.47,117.87,47.48,103.13,1.79,0.6293,0.000769,1
